customer_id,segment_true,region,signup_date
CUST00108,Regular,Pune,2024-04-08
CUST00109,Loyal,Mumbai,2024-04-25
CUST00110,One-time,Kolkata,2024-01-13
CUST00111,Regular,Delhi NCR,2024-06-08
CUST00112,Regular,Delhi NCR,2024-01-17
CUST00113,Regular,Pune,2025-02-14
CUST00114,Occasional,Pune,2024-02-28
CUST00115,Regular,Bengaluru,2024-10-15
CUST00116,One-time,Pune,2024-09-06
CUST00117,Occasional,Mumbai,2024-04-13
CUST00118,Occasional,Pune,2024-12-19
CUST00119,Regular,Delhi NCR,2024-02-17
CUST00120,Occasional,Delhi NCR,2025-01-23
CUST00121,Occasional,Mumbai,2024-11-20
CUST00122,Occasional,Delhi NCR,2024-10-05
CUST00123,Loyal,Delhi NCR,2025-01-20
CUST00124,Regular,Bengaluru,2024-06-25
CUST00125,Loyal,Mumbai,2024-05-03
CUST00126,Regular,Mumbai,2024-03-08
CUST00127,Regular,Bengaluru,2025-02-08
CUST00128,Loyal,Mumbai,2024-06-24
CUST00129,Loyal,Pune,2024-12-29
CUST00130,Occasional,Kolkata,2024-05-25
CUST00131,Regular,Bengaluru,2025-02-22
CUST00132,One-time,Chennai,2025-01-16
CUST00133,Occasional,Mumbai,2024-05-14
CUST00134,Regular,Mumbai,2024-08-01
CUST00135,Occasional,Hyderabad,2024-12-13
CUST00136,Loyal,Hyderabad,2024-04-09
CUST00137,One-time,Chennai,2024-01-11
CUST00138,Regular,Mumbai,2024-05-06
CUST00139,Occasional,Hyderabad,2024-09-15
CUST00140,Loyal,Delhi NCR,2024-02-29
CUST00141,Regular,Delhi NCR,2024-05-26
CUST00142,Regular,Mumbai,2025-02-06
CUST00143,One-time,Kolkata,2024-02-02
CUST00144,Occasional,Mumbai,2024-01-23
CUST00145,Regular,Hyderabad,2024-07-04
CUST00146,Regular,Pune,2024-01-06
CUST00147,Regular,Hyderabad,2024-01-13
CUST00148,Occasional,Pune,2024-03-21
CUST00149,Regular,Chennai,2024-02-14
CUST00150,Loyal,Mumbai,2024-12-21
CUST00151,One-time,Mumbai,2024-02-23
CUST00152,One-time,Bengaluru,2024-08-17
CUST00153,Loyal,Delhi NCR,2024-11-04
CUST00154,Occasional,Mumbai,2024-10-01
CUST00155,Loyal,Mumbai,2024-10-13
CUST00156,Occasional,Delhi NCR,2024-06-05
CUST00157,Regular,Mumbai,2025-01-24
CUST00158,Occasional,Mumbai,2024-01-31
CUST00159,Occasional,Chennai,2024-02-17
CUST00160,Occasional,Delhi NCR,2025-01-09
CUST00161,Loyal,Kolkata,2024-01-30
CUST00162,One-time,Kolkata,2024-03-25
CUST00163,Regular,Mumbai,2024-03-16
CUST00164,Loyal,Pune,2024-01-15
CUST00165,Occasional,Pune,2024-02-21
CUST00166,Regular,Pune,2024-09-07
CUST00167,One-time,Mumbai,2024-10-16
CUST00168,One-time,Mumbai,2024-02-06
CUST00169,Regular,Mumbai,2025-02-16
CUST00170,One-time,Pune,2024-02-11
CUST00171,Regular,Kolkata,2024-10-27
CUST00172,Occasional,Pune,2024-12-16
CUST00173,Regular,Pune,2024-08-16
CUST00174,One-time,Kolkata,2024-08-03
CUST00175,Regular,Pune,2024-02-17
CUST00176,Loyal,Mumbai,2024-04-15
CUST00177,Regular,Chennai,2025-01-07
CUST00178,One-time,Delhi NCR,2024-06-01
CUST00179,One-time,Mumbai,2024-01-16
CUST00180,Occasional,Bengaluru,2024-11-15
CUST00181,One-time,Kolkata,2024-10-26
CUST00182,One-time,Delhi NCR,2024-01-30
CUST00183,Occasional,Bengaluru,2024-01-23
CUST00184,Regular,Mumbai,2024-02-21
CUST00185,Occasional,Mumbai,2024-01-23
CUST00186,Occasional,Mumbai,2024-09-26
CUST00187,Regular,Hyderabad,2024-02-28
CUST00188,Loyal,Chennai,2024-09-22
CUST00189,Occasional,Mumbai,2024-03-18
CUST00190,Regular,Delhi NCR,2025-03-01
CUST00191,One-time,Mumbai,2024-11-13
CUST00192,Regular,Mumbai,2024-06-13
CUST00193,Loyal,Bengaluru,2024-07-06
CUST00194,One-time,Pune,2024-01-29
CUST00195,Regular,Pune,2024-01-25
CUST00196,Regular,Delhi NCR,2024-08-23
CUST00197,Occasional,Bengaluru,2024-01-10
CUST00198,One-time,Mumbai,2024-10-06
CUST00199,Regular,Mumbai,2024-06-16
CUST00200,Regular,Kolkata,2024-03-02
CUST00201,Occasional,Hyderabad,2024-08-22
CUST00202,One-time,Chennai,2024-08-30
CUST00203,Occasional,Chennai,2024-11-22
CUST00204,Loyal,Pune,2024-03-27
CUST00205,Loyal,Chennai,2024-08-27
CUST00206,Regular,Delhi NCR,2025-01-04
CUST00207,Loyal,Mumbai,2024-04-28
CUST00208,Occasional,Mumbai,2024-12-31
CUST00209,Loyal,Mumbai,2024-11-12
CUST00210,Occasional,Mumbai,2024-07-07
CUST00211,Occasional,Delhi NCR,2025-01-21
CUST00212,Occasional,Pune,2025-02-27
CUST00213,Regular,Hyderabad,2024-04-13
CUST00214,One-time,Bengaluru,2025-03-05
CUST00215,Occasional,Mumbai,2024-01-02
CUST00216,Occasional,Hyderabad,2024-02-26
CUST00217,Loyal,Delhi NCR,2024-01-19
CUST00218,Loyal,Mumbai,2024-06-10
CUST00219,One-time,Delhi NCR,2025-02-14
CUST00220,Regular,Delhi NCR,2024-09-19
CUST00221,Regular,Delhi NCR,2024-09-27
CUST00222,Regular,Hyderabad,2024-02-07
CUST00223,Occasional,Hyderabad,2024-08-14
CUST00224,One-time,Pune,2024-06-16
CUST00225,Regular,Mumbai,2024-07-28
CUST00226,One-time,Hyderabad,2024-04-24
CUST00227,Loyal,Pune,2024-03-29
CUST00228,Occasional,Mumbai,2025-02-20
CUST00229,Occasional,Pune,2024-09-01
CUST00230,Loyal,Bengaluru,2024-06-29
CUST00231,Loyal,Bengaluru,2024-02-02
CUST00232,Regular,Mumbai,2024-11-30
CUST00233,One-time,Bengaluru,2024-07-25
CUST00234,Occasional,Mumbai,2024-06-18
CUST00235,One-time,Mumbai,2024-10-19
CUST00236,One-time,Mumbai,2024-02-27
CUST00237,Regular,Kolkata,2024-08-21
CUST00238,Occasional,Delhi NCR,2025-01-13
CUST00239,Loyal,Delhi NCR,2024-07-22
CUST00240,Loyal,Delhi NCR,2024-01-01
CUST00241,One-time,Chennai,2024-04-10
CUST00242,Occasional,Bengaluru,2024-01-25
CUST00243,Regular,Chennai,2024-08-07
CUST00244,Occasional,Delhi NCR,2024-06-08
CUST00245,Occasional,Mumbai,2024-02-28
CUST00246,One-time,Bengaluru,2024-10-27
CUST00247,Occasional,Delhi NCR,2024-03-18
CUST00248,Regular,Hyderabad,2024-05-29
CUST00249,Regular,Chennai,2025-03-08
CUST00250,Regular,Bengaluru,2024-01-30
CUST00251,Occasional,Kolkata,2024-04-18
CUST00252,One-time,Bengaluru,2024-05-19
CUST00253,Regular,Delhi NCR,2024-08-10
CUST00254,Regular,Bengaluru,2024-04-17
CUST00255,Regular,Mumbai,2025-02-28
CUST00256,Occasional,Hyderabad,2024-01-03
CUST00257,One-time,Mumbai,2025-02-19
CUST00258,Loyal,Delhi NCR,2024-08-22
CUST00259,Loyal,Bengaluru,2024-01-17
CUST00260,Occasional,Mumbai,2024-02-21
CUST00261,Loyal,Mumbai,2024-02-15
CUST00262,One-time,Pune,2024-05-05
CUST00263,Regular,Mumbai,2024-05-25
CUST00264,Loyal,Bengaluru,2024-10-07
CUST00265,One-time,Delhi NCR,2024-05-16
CUST00266,Regular,Delhi NCR,2024-11-13
CUST00267,Regular,Mumbai,2024-05-08
CUST00268,Regular,Hyderabad,2024-04-25
CUST00269,Loyal,Kolkata,2024-04-30
CUST00270,Loyal,Mumbai,2024-05-24
CUST00271,Loyal,Kolkata,2025-01-01
CUST00272,Regular,Bengaluru,2024-04-18
CUST00273,Loyal,Pune,2024-04-29
CUST00274,Occasional,Pune,2025-02-23
CUST00275,Occasional,Pune,2024-10-13
CUST00276,Regular,Hyderabad,2024-03-24
CUST00277,Regular,Bengaluru,2025-01-15
CUST00278,Occasional,Bengaluru,2024-03-21
CUST00279,One-time,Delhi NCR,2024-03-12
CUST00280,One-time,Mumbai,2024-07-13
CUST00281,Loyal,Pune,2024-10-29
CUST00282,Regular,Mumbai,2024-03-23
CUST00283,Regular,Delhi NCR,2024-11-25
CUST00284,Regular,Mumbai,2024-03-09
CUST00285,Occasional,Mumbai,2024-12-08
CUST00286,Regular,Pune,2024-02-11
CUST00287,Loyal,Pune,2024-07-22
CUST00288,Regular,Bengaluru,2024-10-07
CUST00289,Occasional,Mumbai,2024-04-26
CUST00290,Loyal,Bengaluru,2024-09-25
CUST00291,One-time,Delhi NCR,2024-10-28
CUST00292,Loyal,Hyderabad,2024-10-11
CUST00293,One-time,Bengaluru,2024-06-22
CUST00294,Loyal,Bengaluru,2024-12-04
CUST00295,One-time,Bengaluru,2024-11-16
CUST00296,One-time,Kolkata,2024-05-22
CUST00297,One-time,Hyderabad,2024-11-17
CUST00298,One-time,Bengaluru,2025-02-06
CUST00299,Occasional,Bengaluru,2024-12-23
CUST00300,Occasional,Mumbai,2024-11-17
CUST00301,Occasional,Kolkata,2024-12-01
CUST00302,Loyal,Delhi NCR,2024-12-18
CUST00303,Occasional,Delhi NCR,2024-05-06
CUST00304,Occasional,Kolkata,2024-11-11
CUST00305,One-time,Pune,2024-03-28
CUST00306,Regular,Mumbai,2024-06-06
CUST00307,Regular,Mumbai,2025-02-13
CUST00308,Occasional,Mumbai,2024-05-03
CUST00309,Regular,Bengaluru,2025-01-04
CUST00310,Loyal,Mumbai,2024-07-04
CUST00311,Regular,Kolkata,2024-04-01
CUST00312,Regular,Kolkata,2024-02-12
CUST00313,Regular,Bengaluru,2024-08-28
CUST00314,Regular,Pune,2024-07-16
CUST00315,Regular,Delhi NCR,2024-08-11
CUST00316,Regular,Mumbai,2024-01-19
CUST00317,Regular,Hyderabad,2024-04-27
CUST00318,Occasional,Mumbai,2024-01-02
CUST00319,Regular,Mumbai,2024-05-12
CUST00320,One-time,Delhi NCR,2025-02-11
CUST00321,One-time,Mumbai,2024-03-07
CUST00322,Regular,Bengaluru,2024-10-28
CUST00323,Regular,Pune,2024-01-03
CUST00324,Occasional,Hyderabad,2024-09-03
CUST00325,One-time,Pune,2025-02-07
CUST00326,Occasional,Chennai,2024-05-29
CUST00327,One-time,Delhi NCR,2024-03-27
CUST00328,Occasional,Chennai,2024-09-06
CUST00329,Occasional,Bengaluru,2024-05-02
CUST00330,Regular,Delhi NCR,2025-01-25
CUST00331,Occasional,Kolkata,2025-01-06
CUST00332,Regular,Delhi NCR,2024-10-12
CUST00333,Occasional,Mumbai,2024-10-06
CUST00334,One-time,Delhi NCR,2024-09-20
CUST00335,Loyal,Delhi NCR,2024-11-18
CUST00336,Occasional,Delhi NCR,2024-07-20
CUST00337,Loyal,Bengaluru,2025-02-28
CUST00338,Occasional,Chennai,2024-05-31
CUST00339,Loyal,Delhi NCR,2024-01-04
CUST00340,One-time,Bengaluru,2024-11-01
CUST00341,Loyal,Delhi NCR,2024-10-17
CUST00342,One-time,Hyderabad,2025-03-05
CUST00343,One-time,Mumbai,2024-06-22
CUST00344,Occasional,Mumbai,2024-07-05
CUST00345,Occasional,Bengaluru,2024-09-03
CUST00346,Occasional,Pune,2024-06-20
CUST00347,One-time,Hyderabad,2024-12-09
CUST00348,Regular,Bengaluru,2024-07-06
CUST00349,Occasional,Hyderabad,2024-12-09
CUST00350,Loyal,Delhi NCR,2024-07-05
CUST00351,Occasional,Mumbai,2024-04-08
CUST00352,Regular,Mumbai,2025-03-09
CUST00353,Occasional,Mumbai,2024-08-18
CUST00354,Occasional,Delhi NCR,2024-11-05
CUST00355,Regular,Bengaluru,2024-09-15
CUST00356,Occasional,Delhi NCR,2024-06-06
CUST00357,Occasional,Bengaluru,2025-03-01
CUST00358,Occasional,Bengaluru,2024-06-11
CUST00359,Regular,Pune,2025-03-10
CUST00360,Occasional,Pune,2024-07-07
CUST00361,One-time,Delhi NCR,2024-01-10
CUST00362,Loyal,Delhi NCR,2024-01-17
CUST00363,Loyal,Bengaluru,2025-03-02
CUST00364,Loyal,Bengaluru,2024-08-19
CUST00365,Occasional,Delhi NCR,2024-06-18
CUST00366,Regular,Delhi NCR,2024-12-21
CUST00367,Occasional,Pune,2024-09-27
CUST00368,Occasional,Pune,2024-10-16
CUST00369,Regular,Mumbai,2024-10-27
CUST00370,One-time,Bengaluru,2024-03-27
CUST00371,Occasional,Chennai,2024-02-08
CUST00372,Regular,Mumbai,2024-11-14
CUST00373,Regular,Chennai,2024-01-10
CUST00374,Regular,Mumbai,2024-11-11
CUST00375,Regular,Bengaluru,2024-02-26
CUST00376,Loyal,Bengaluru,2024-04-24
CUST00377,One-time,Mumbai,2024-11-05
CUST00378,Regular,Chennai,2024-09-29
CUST00379,Regular,Bengaluru,2024-12-08
CUST00380,Occasional,Kolkata,2024-09-24
CUST00381,Occasional,Delhi NCR,2024-01-21
CUST00382,One-time,Chennai,2025-01-02
CUST00383,Occasional,Chennai,2024-04-04
CUST00384,Regular,Bengaluru,2024-02-29
CUST00385,Regular,Mumbai,2025-01-19
CUST00386,One-time,Pune,2024-03-26
CUST00387,Occasional,Bengaluru,2024-08-22
CUST00388,One-time,Kolkata,2024-07-31
CUST00389,Loyal,Bengaluru,2024-12-03
CUST00390,One-time,Delhi NCR,2024-01-20
CUST00391,Occasional,Mumbai,2024-02-16
CUST00392,Loyal,Pune,2024-07-01
CUST00393,Occasional,Kolkata,2024-07-26
CUST00394,Occasional,Mumbai,2024-12-11
CUST00395,Loyal,Hyderabad,2024-09-22
CUST00396,Regular,Chennai,2024-03-06
CUST00397,One-time,Mumbai,2025-03-04
CUST00398,Regular,Mumbai,2024-07-20
CUST00399,Regular,Pune,2025-02-26
CUST00400,Regular,Pune,2025-03-09
CUST00401,Regular,Mumbai,2024-01-23
CUST00402,One-time,Chennai,2024-08-09
CUST00403,Occasional,Bengaluru,2024-07-03
CUST00404,Loyal,Chennai,2024-08-06
CUST00405,One-time,Chennai,2024-05-15
CUST00406,One-time,Hyderabad,2024-09-01
CUST00407,Regular,Bengaluru,2024-08-03
CUST00408,One-time,Delhi NCR,2024-03-22
CUST00409,Loyal,Bengaluru,2024-05-06
CUST00410,One-time,Mumbai,2024-03-05
CUST00411,Occasional,Pune,2025-01-04
CUST00412,Occasional,Mumbai,2024-10-23
CUST00413,Loyal,Bengaluru,2024-06-18
CUST00414,One-time,Mumbai,2024-06-22
CUST00415,Loyal,Delhi NCR,2024-02-04
CUST00416,Regular,Delhi NCR,2024-05-06
CUST00417,Loyal,Pune,2025-02-08
CUST00418,Occasional,Hyderabad,2024-01-14
CUST00419,Regular,Mumbai,2024-03-05
CUST00420,One-time,Chennai,2025-01-05
CUST00421,Occasional,Chennai,2024-08-15
CUST00422,Loyal,Delhi NCR,2024-01-15
CUST00423,Loyal,Pune,2024-08-02
CUST00424,Loyal,Delhi NCR,2024-11-24
CUST00425,Occasional,Mumbai,2024-05-31
CUST00426,One-time,Bengaluru,2024-06-16
CUST00427,Regular,Mumbai,2024-10-03
CUST00428,One-time,Chennai,2024-09-19
CUST00429,Loyal,Chennai,2025-01-30
CUST00430,One-time,Hyderabad,2024-04-18
CUST00431,One-time,Bengaluru,2024-04-30
CUST00432,Occasional,Bengaluru,2024-03-09
CUST00433,Occasional,Kolkata,2024-10-18
CUST00434,One-time,Delhi NCR,2024-08-21
CUST00435,Loyal,Mumbai,2024-05-31
CUST00436,Regular,Bengaluru,2024-10-31
CUST00437,Loyal,Delhi NCR,2024-06-13
CUST00438,Occasional,Delhi NCR,2024-03-26
CUST00439,Occasional,Mumbai,2024-08-24
CUST00440,Occasional,Bengaluru,2024-07-10
CUST00441,One-time,Delhi NCR,2024-06-26
CUST00442,Regular,Mumbai,2024-07-13
CUST00443,Occasional,Mumbai,2025-02-04
CUST00444,Regular,Delhi NCR,2024-04-04
CUST00445,Regular,Chennai,2024-04-30
CUST00446,Occasional,Delhi NCR,2024-09-04
CUST00447,One-time,Pune,2024-01-21
CUST00448,Occasional,Hyderabad,2024-03-04
CUST00449,Loyal,Delhi NCR,2024-09-05
CUST00450,Occasional,Hyderabad,2024-08-11
CUST00451,Loyal,Pune,2024-10-12
CUST00452,One-time,Bengaluru,2024-02-19
CUST00453,Occasional,Mumbai,2025-01-08
CUST00454,Regular,Mumbai,2024-07-31
CUST00455,Loyal,Kolkata,2024-03-08
CUST00456,Regular,Hyderabad,2024-05-16
CUST00457,One-time,Kolkata,2024-04-09
CUST00458,Regular,Chennai,2024-07-17
CUST00459,Occasional,Mumbai,2024-07-24
CUST00460,Occasional,Hyderabad,2024-07-08
CUST00461,Occasional,Bengaluru,2024-07-20
CUST00462,Loyal,Hyderabad,2025-02-01
CUST00463,One-time,Mumbai,2025-02-24
CUST00464,Regular,Delhi NCR,2024-08-02
CUST00465,Occasional,Hyderabad,2025-02-25
CUST00466,Occasional,Hyderabad,2024-12-24
CUST00467,Occasional,Pune,2024-12-25
CUST00468,One-time,Delhi NCR,2024-04-08
CUST00469,Loyal,Delhi NCR,2024-07-11
CUST00470,Occasional,Kolkata,2024-06-03
CUST00471,Regular,Bengaluru,2024-02-12
CUST00472,Regular,Bengaluru,2024-02-02
CUST00473,Loyal,Bengaluru,2024-09-29
CUST00474,Loyal,Delhi NCR,2024-07-03
CUST00475,Regular,Bengaluru,2024-12-27
CUST00476,Regular,Bengaluru,2024-10-19
CUST00477,Regular,Hyderabad,2024-02-07
CUST00478,Occasional,Chennai,2025-01-02
CUST00479,Occasional,Kolkata,2024-08-05
CUST00480,Regular,Bengaluru,2024-09-04
CUST00481,Regular,Bengaluru,2025-02-26
CUST00482,Regular,Pune,2024-10-07
CUST00483,Occasional,Chennai,2024-01-10
CUST00484,Regular,Bengaluru,2024-03-18
CUST00485,Loyal,Pune,2024-07-05
CUST00486,Regular,Hyderabad,2024-01-17
CUST00487,Regular,Pune,2024-03-14
CUST00488,Regular,Hyderabad,2024-12-12
CUST00489,Occasional,Mumbai,2024-03-03
CUST00490,Occasional,Bengaluru,2024-03-14
CUST00491,Occasional,Bengaluru,2024-08-09
CUST00492,Occasional,Mumbai,2024-02-09
CUST00493,Occasional,Chennai,2024-04-21
CUST00494,Regular,Pune,2025-02-14
CUST00495,Occasional,Mumbai,2024-10-03
CUST00496,Occasional,Hyderabad,2025-02-26
CUST00497,Regular,Pune,2024-06-04
CUST00498,Occasional,Hyderabad,2024-09-26
CUST00499,Regular,Delhi NCR,2024-04-14
CUST00500,Occasional,Chennai,2024-06-14
CUST00501,Occasional,Delhi NCR,2024-03-17
CUST00502,One-time,Bengaluru,2024-12-30
CUST00503,One-time,Mumbai,2024-03-21
CUST00504,Occasional,Pune,2024-03-30
CUST00505,Occasional,Pune,2024-07-22
CUST00506,Occasional,Bengaluru,2024-07-07
CUST00507,Regular,Bengaluru,2024-05-17
CUST00508,One-time,Hyderabad,2024-06-05
CUST00509,Regular,Pune,2024-05-09
CUST00510,Loyal,Delhi NCR,2025-02-03
CUST00511,Loyal,Kolkata,2024-09-11
CUST00512,One-time,Pune,2025-02-06
CUST00513,Loyal,Kolkata,2025-03-08
CUST00514,Regular,Kolkata,2024-10-12
CUST00515,Regular,Chennai,2024-12-27
CUST00516,Regular,Hyderabad,2024-02-18
CUST00517,Regular,Pune,2025-02-19
CUST00518,Occasional,Mumbai,2024-07-30
CUST00519,Loyal,Bengaluru,2024-11-08
CUST00520,One-time,Hyderabad,2024-04-17
CUST00521,One-time,Bengaluru,2024-02-11
CUST00522,Regular,Chennai,2025-01-22
CUST00523,Regular,Mumbai,2024-07-15
CUST00524,Occasional,Delhi NCR,2024-03-01
CUST00525,Loyal,Bengaluru,2024-10-15
CUST00526,Regular,Bengaluru,2024-01-24
CUST00527,One-time,Mumbai,2024-07-16
CUST00528,One-time,Mumbai,2024-11-04
CUST00529,Occasional,Chennai,2024-11-11
CUST00530,Regular,Bengaluru,2024-07-17
CUST00531,Occasional,Mumbai,2024-06-11
CUST00532,Occasional,Mumbai,2025-01-02
CUST00533,Regular,Bengaluru,2024-03-21
CUST00534,Occasional,Mumbai,2024-02-02
CUST00535,Loyal,Pune,2024-03-09
CUST00536,Regular,Hyderabad,2024-12-16
CUST00537,Occasional,Delhi NCR,2024-07-24
CUST00538,Regular,Bengaluru,2024-01-17
CUST00539,Regular,Mumbai,2024-03-14
CUST00540,One-time,Delhi NCR,2024-01-13
CUST00541,One-time,Chennai,2024-12-22
CUST00542,Occasional,Bengaluru,2024-07-21
CUST00543,One-time,Chennai,2024-01-30
CUST00544,One-time,Delhi NCR,2024-04-06
CUST00545,Loyal,Delhi NCR,2024-09-27
CUST00546,Regular,Bengaluru,2024-09-17
CUST00547,Regular,Bengaluru,2024-12-24
CUST00548,Loyal,Kolkata,2024-01-12
CUST00549,Occasional,Mumbai,2024-01-31
CUST00550,Regular,Chennai,2024-01-16
CUST00551,Regular,Chennai,2024-06-21
CUST00552,Regular,Bengaluru,2024-11-14
CUST00553,Regular,Delhi NCR,2024-10-17
CUST00554,One-time,Bengaluru,2024-04-02
CUST00555,Loyal,Delhi NCR,2024-10-14
CUST00556,Regular,Hyderabad,2024-10-14
CUST00557,Regular,Bengaluru,2024-03-24
CUST00558,Regular,Chennai,2024-11-24
CUST00559,Occasional,Pune,2024-07-03
CUST00560,Regular,Bengaluru,2024-01-26
CUST00561,Loyal,Pune,2024-06-20
CUST00562,Regular,Bengaluru,2024-12-03
CUST00563,One-time,Chennai,2024-10-31
CUST00564,Occasional,Mumbai,2024-04-27
CUST00565,Occasional,Kolkata,2024-11-27
CUST00566,Occasional,Hyderabad,2024-06-19
CUST00567,Occasional,Chennai,2024-07-20
CUST00568,Loyal,Bengaluru,2024-02-07
CUST00569,Regular,Chennai,2025-03-12
CUST00570,Occasional,Delhi NCR,2025-01-02
CUST00571,Regular,Hyderabad,2024-03-26
CUST00572,One-time,Mumbai,2024-09-02
CUST00573,Regular,Delhi NCR,2024-12-07
CUST00574,Occasional,Bengaluru,2024-08-09
CUST00575,One-time,Delhi NCR,2024-04-02
CUST00576,Occasional,Delhi NCR,2025-02-28
CUST00577,One-time,Hyderabad,2024-04-27
CUST00578,Occasional,Delhi NCR,2024-05-26
CUST00579,One-time,Hyderabad,2024-06-11
CUST00580,Regular,Mumbai,2025-01-25
CUST00581,Regular,Hyderabad,2024-08-07
CUST00582,Occasional,Hyderabad,2024-11-11
CUST00583,Loyal,Delhi NCR,2025-01-29
CUST00584,Regular,Hyderabad,2025-02-10
CUST00585,One-time,Chennai,2025-01-10
CUST00586,Occasional,Hyderabad,2025-02-01
