customer_id,last_order,frequency,monetary,recency,R_score,F_score,M_score,RFM_sum,segment,region,segment_true
CUST00040,2025-10-02,3,83557.07,90,3,1,2,6,Needs Attention,Pune,Occasional
CUST00041,2025-12-20,18,369619.14,11,5,4,4,13,Champions,Delhi NCR,Regular
CUST00042,2025-05-06,1,64470.84,239,2,1,2,5,Lost,Chennai,One-time
CUST00043,2025-01-30,7,220514.75,335,1,2,3,6,Needs Attention,Hyderabad,Occasional
CUST00044,2025-09-21,6,125854.51999999999,101,3,2,2,7,Needs Attention,Bengaluru,Regular
CUST00045,2024-12-11,1,2343.96,385,1,1,1,3,Lost,Hyderabad,One-time
CUST00046,2024-12-21,2,18944.449999999997,375,1,1,1,3,Lost,Kolkata,One-time
CUST00047,2025-12-12,8,174816.68,19,4,3,3,10,Loyal Customers,Bengaluru,Regular
CUST00048,2025-11-18,11,213988.78999999998,43,4,3,3,10,Loyal Customers,Pune,Regular
CUST00049,2025-11-07,6,201148.30000000002,54,3,2,3,8,Needs Attention,Chennai,Occasional
CUST00050,2025-12-27,17,277894.54,4,5,4,4,13,Champions,Delhi NCR,Loyal
CUST00051,2025-01-07,20,422694.65,358,1,5,5,11,At Risk,Chennai,Regular
CUST00052,2025-12-26,20,399970.11,5,5,5,4,14,Champions,Mumbai,Loyal
CUST00053,2025-11-29,6,144137.84999999998,32,4,2,3,9,New / Promising,Pune,Occasional
CUST00054,2025-12-27,9,315276.69,4,5,3,4,12,Loyal Customers,Hyderabad,Occasional
CUST00055,2025-06-24,3,87464.75,190,2,1,2,5,Lost,Pune,Occasional
CUST00056,2025-04-23,15,184808.63999999998,252,2,4,3,9,At Risk,Bengaluru,Occasional
CUST00057,2025-12-01,15,224602.72,30,4,4,3,11,Loyal Customers,Pune,Regular
CUST00058,2025-02-21,2,14224.739999999998,313,2,1,1,4,Lost,Mumbai,Occasional
CUST00059,2025-12-14,45,998717.5599999999,17,4,5,5,14,Champions,Mumbai,Loyal
CUST00060,2025-12-21,27,808145.68,10,5,5,5,15,Champions,Delhi NCR,Loyal
CUST00061,2025-10-16,4,65952.05,76,3,2,2,7,Needs Attention,Bengaluru,Occasional
CUST00062,2025-10-16,13,283356.49,76,3,4,4,11,Loyal Customers,Bengaluru,Regular
CUST00063,2025-07-10,10,339250.45999999996,174,2,3,4,9,At Risk,Delhi NCR,Occasional
CUST00064,2024-11-20,4,193247.86000000002,406,1,2,3,6,Needs Attention,Chennai,Occasional
CUST00065,2025-08-21,9,101139.79000000001,132,3,3,2,8,Loyal Customers,Delhi NCR,Occasional
CUST00066,2024-10-13,11,256677.99,444,1,3,4,8,At Risk,Bengaluru,Occasional
CUST00067,2025-06-20,9,150822.79,194,2,3,3,8,At Risk,Delhi NCR,Occasional
CUST00068,2025-10-13,15,366000.23,79,3,4,4,11,Loyal Customers,Mumbai,Regular
CUST00069,2025-12-30,17,410034.26,1,5,4,5,14,Champions,Hyderabad,Loyal
CUST00070,2025-12-02,9,275155.62,29,4,3,4,11,Loyal Customers,Bengaluru,Regular
CUST00071,2025-12-17,14,241908.66,14,5,4,4,13,Champions,Mumbai,Regular
CUST00072,2025-12-25,13,292451.38,6,5,4,4,13,Champions,Kolkata,Regular
CUST00073,2024-11-01,1,48956.16,425,1,1,1,3,Lost,Hyderabad,One-time
CUST00074,2025-12-14,11,126313.98000000001,17,4,3,2,9,Loyal Customers,Hyderabad,Regular
CUST00075,2025-12-20,36,924606.67,11,5,5,5,15,Champions,Chennai,Loyal
CUST00076,2025-12-26,12,376466.82,5,5,4,4,13,Champions,Chennai,Regular
CUST00077,2025-12-16,11,221297.47,15,5,3,3,11,Loyal Customers,Delhi NCR,Regular
CUST00078,2024-11-05,7,167223.19,421,1,2,3,6,Needs Attention,Pune,Occasional
CUST00079,2025-05-06,2,23546.72,239,2,1,1,4,Lost,Pune,Occasional
CUST00080,2025-01-07,3,89860.77,358,1,1,2,4,Lost,Delhi NCR,Occasional
CUST00081,2024-10-14,10,197826.91999999998,443,1,3,3,7,At Risk,Delhi NCR,Occasional
CUST00082,2025-12-17,12,403974.47,14,5,4,5,14,Champions,Mumbai,Regular
CUST00083,2025-02-14,1,6893.98,320,2,1,1,4,Lost,Pune,One-time
CUST00084,2025-12-30,24,367930.45,1,5,5,4,14,Champions,Hyderabad,Regular
CUST00085,2025-12-15,23,714484.56,16,5,5,5,15,Champions,Hyderabad,Loyal
CUST00086,2025-12-23,18,335583.19,8,5,4,4,13,Champions,Delhi NCR,Loyal
CUST00087,2025-09-01,1,10926.810000000001,121,3,1,1,5,Needs Attention,Mumbai,Occasional
CUST00088,2025-12-03,10,330985.12,28,4,3,4,11,Loyal Customers,Bengaluru,Regular
CUST00089,2025-12-05,10,131085.38999999998,26,4,3,2,9,Loyal Customers,Bengaluru,Regular
CUST00090,2025-12-30,11,156323.61,1,5,3,3,11,Loyal Customers,Chennai,Occasional
CUST00091,2025-10-07,12,347936.97,85,3,4,4,11,Loyal Customers,Chennai,Regular
CUST00092,2025-12-02,10,111621.76,29,4,3,2,9,Loyal Customers,Chennai,Occasional
CUST00093,2025-12-14,14,313596.32,17,4,4,4,12,Champions,Chennai,Regular
CUST00094,2025-10-29,17,333068.66000000003,63,3,4,4,11,Loyal Customers,Kolkata,Regular
CUST00095,2025-12-08,13,172276.78999999998,23,4,4,3,11,Loyal Customers,Bengaluru,Regular
CUST00096,2025-09-29,13,386502.45,93,3,4,4,11,Loyal Customers,Mumbai,Occasional
CUST00097,2025-11-23,16,342311.26,38,4,4,4,12,Champions,Mumbai,Regular
CUST00098,2025-12-06,36,656221.06,25,4,5,5,14,Champions,Delhi NCR,Loyal
CUST00099,2025-12-28,26,580125.12,3,5,5,5,15,Champions,Delhi NCR,Loyal
CUST00100,2024-08-19,1,840.03,499,1,1,1,3,Lost,Mumbai,One-time
CUST00101,2025-05-14,3,118697.83,231,2,1,2,5,Lost,Kolkata,One-time
CUST00102,2025-06-02,13,354624.83999999997,212,2,4,4,10,At Risk,Mumbai,Occasional
CUST00103,2025-12-24,20,500305.02999999997,7,5,5,5,15,Champions,Kolkata,Regular
CUST00104,2024-12-25,2,23120.73,371,1,1,1,3,Lost,Hyderabad,One-time
CUST00105,2025-11-27,7,106066.08,34,4,2,2,8,New / Promising,Pune,Occasional
CUST00106,2025-11-04,6,108631.83,57,3,2,2,7,Needs Attention,Pune,Occasional
CUST00107,2025-11-28,18,351562.71,33,4,4,4,12,Champions,Delhi NCR,Regular
CUST00108,2024-08-12,15,396573.68,506,1,4,4,9,At Risk,Pune,Regular
CUST00109,2025-12-17,35,808078.19,14,5,5,5,15,Champions,Mumbai,Loyal
CUST00110,2025-05-20,4,174820.28,225,2,2,3,7,Needs Attention,Kolkata,One-time
CUST00111,2025-12-03,19,400216.89,28,4,5,4,13,Champions,Delhi NCR,Regular
CUST00112,2025-11-23,12,239382.68,38,4,4,3,11,Loyal Customers,Delhi NCR,Regular
CUST00113,2025-11-02,12,172971.05,59,3,4,3,10,Loyal Customers,Pune,Regular
CUST00114,2024-09-05,8,150374.76,482,1,3,3,7,At Risk,Pune,Occasional
CUST00115,2025-09-15,12,659201.26,107,3,4,5,12,Loyal Customers,Bengaluru,Regular
CUST00116,2024-12-03,3,18814.05,393,1,1,1,3,Lost,Pune,One-time
CUST00117,2025-08-30,9,128559.49,123,3,3,2,8,Loyal Customers,Mumbai,Occasional
CUST00118,2025-04-27,5,24605.41,248,2,2,1,5,Lost,Pune,Occasional
CUST00119,2025-10-08,16,372874.56,84,3,4,4,11,Loyal Customers,Delhi NCR,Regular
CUST00120,2025-12-18,3,24846.850000000002,13,5,1,1,7,New / Promising,Delhi NCR,Occasional
CUST00121,2025-02-19,5,81416.54000000001,315,2,2,2,6,Lost,Mumbai,Occasional
CUST00122,2024-12-24,10,189959.01,372,1,3,3,7,At Risk,Delhi NCR,Occasional
CUST00123,2025-12-30,19,439582.09,1,5,5,5,15,Champions,Delhi NCR,Loyal
CUST00124,2025-12-19,17,360514.54,12,5,4,4,13,Champions,Bengaluru,Regular
CUST00125,2025-12-26,34,743744.02,5,5,5,5,15,Champions,Mumbai,Loyal
CUST00126,2025-09-08,18,287503.59,114,3,4,4,11,Loyal Customers,Mumbai,Regular
CUST00127,2025-11-14,13,276411.49,47,3,4,4,11,Loyal Customers,Bengaluru,Regular
CUST00128,2025-12-03,27,642696.1900000001,28,4,5,5,14,Champions,Mumbai,Loyal
CUST00129,2025-11-15,14,218787.57,46,3,4,3,10,Loyal Customers,Pune,Loyal
CUST00130,2025-12-02,5,111297.19,29,4,2,2,8,New / Promising,Kolkata,Occasional
CUST00131,2025-12-29,10,400428.82,2,5,3,4,12,Loyal Customers,Bengaluru,Regular
CUST00132,2025-06-18,1,57254.38,196,2,1,1,4,Lost,Chennai,One-time
CUST00133,2025-12-15,7,139348.25,16,5,2,2,9,New / Promising,Mumbai,Occasional
CUST00134,2025-10-04,15,265898.55,88,3,4,4,11,Loyal Customers,Mumbai,Regular
CUST00135,2025-06-13,1,24923.63,201,2,1,1,4,Lost,Hyderabad,Occasional
CUST00136,2025-11-16,28,655515.85,45,4,5,5,14,Champions,Hyderabad,Loyal
CUST00137,2024-03-25,2,21610.3,646,1,1,1,3,Lost,Chennai,One-time
CUST00138,2024-10-17,20,446131.60000000003,440,1,5,5,11,At Risk,Mumbai,Regular
CUST00139,2025-04-30,7,199802.84,245,2,2,3,7,Needs Attention,Hyderabad,Occasional
CUST00140,2025-12-19,33,517101.6,12,5,5,5,15,Champions,Delhi NCR,Loyal
CUST00141,2025-12-25,20,430427.63,6,5,5,5,15,Champions,Delhi NCR,Regular
CUST00142,2025-12-23,8,231187.43,8,5,3,3,11,Loyal Customers,Mumbai,Regular
CUST00143,2024-10-28,4,64244.35,429,1,2,2,5,Lost,Kolkata,One-time
CUST00144,2025-04-10,14,350419.53,265,2,4,4,10,At Risk,Mumbai,Occasional
CUST00145,2025-11-25,11,312340.53,36,4,3,4,11,Loyal Customers,Hyderabad,Regular
CUST00146,2025-12-27,16,208170.01,4,5,4,3,12,Loyal Customers,Pune,Regular
CUST00147,2025-09-28,16,308150.59,94,3,4,4,11,Loyal Customers,Hyderabad,Regular
CUST00148,2024-07-03,12,390700.36,546,1,4,4,9,At Risk,Pune,Occasional
CUST00149,2025-11-15,17,230624.46,46,3,4,3,10,Loyal Customers,Chennai,Regular
CUST00150,2025-12-02,19,340843.12,29,4,5,4,13,Champions,Mumbai,Loyal
CUST00151,2024-09-12,4,50390.02,475,1,2,1,4,Lost,Mumbai,One-time
CUST00152,2025-07-21,4,78453.25,163,2,2,2,6,Lost,Bengaluru,One-time
CUST00153,2025-11-25,17,486028.34,36,4,4,5,13,Champions,Delhi NCR,Loyal
CUST00154,2025-04-20,6,67319.05,255,2,2,2,6,Lost,Mumbai,Occasional
CUST00155,2025-12-26,26,405272.14,5,5,5,5,15,Champions,Mumbai,Loyal
CUST00156,2025-12-15,5,30034.0,16,5,2,1,8,New / Promising,Delhi NCR,Occasional
CUST00157,2025-11-24,7,85553.25,37,4,2,2,8,New / Promising,Mumbai,Regular
CUST00158,2025-12-11,10,283344.81,20,4,3,4,11,Loyal Customers,Mumbai,Occasional
CUST00159,2025-12-23,7,102311.22,8,5,2,2,9,New / Promising,Chennai,Occasional
CUST00160,2025-02-15,1,8709.63,319,2,1,1,4,Lost,Delhi NCR,Occasional
CUST00161,2025-10-07,41,831125.23,85,3,5,5,13,Loyal Customers,Kolkata,Loyal
CUST00162,2024-12-02,1,5103.0599999999995,394,1,1,1,3,Lost,Kolkata,One-time
CUST00163,2025-09-12,16,474708.99,110,3,4,5,12,Loyal Customers,Mumbai,Regular
CUST00164,2025-11-19,35,499448.46,42,4,5,5,14,Champions,Pune,Loyal
CUST00165,2024-07-15,13,473684.87,534,1,4,5,10,At Risk,Pune,Occasional
CUST00166,2025-11-17,8,146861.87,44,4,3,3,10,Loyal Customers,Pune,Regular
CUST00167,2025-10-16,2,4119.39,76,3,1,1,5,Needs Attention,Mumbai,One-time
CUST00168,2024-06-08,2,12548.63,571,1,1,1,3,Lost,Mumbai,One-time
CUST00169,2025-12-03,13,395316.32,28,4,4,4,12,Champions,Mumbai,Regular
CUST00170,2024-06-29,4,99970.86,550,1,2,2,5,Lost,Pune,One-time
CUST00171,2025-11-16,13,425359.56,45,4,4,5,13,Champions,Kolkata,Regular
CUST00172,2025-11-19,1,5723.57,42,4,1,1,6,New / Promising,Pune,Occasional
CUST00173,2025-12-09,12,241874.72,22,4,4,4,12,Champions,Pune,Regular
CUST00174,2025-02-24,1,1100.02,310,2,1,1,4,Lost,Kolkata,One-time
CUST00175,2025-11-04,21,310217.81,57,3,5,4,12,Loyal Customers,Pune,Regular
CUST00176,2025-12-26,25,520772.09,5,5,5,5,15,Champions,Mumbai,Loyal
CUST00177,2025-10-08,9,196807.84,84,3,3,3,9,Loyal Customers,Chennai,Regular
CUST00178,2025-02-28,2,6922.48,306,2,1,1,4,Lost,Delhi NCR,One-time
CUST00179,2024-08-22,2,22848.57,496,1,1,1,3,Lost,Mumbai,One-time
CUST00180,2025-05-23,10,286783.39,222,2,3,4,9,At Risk,Bengaluru,Occasional
CUST00181,2024-11-26,1,14387.060000000001,400,1,1,1,3,Lost,Kolkata,One-time
CUST00182,2024-04-29,2,4145.39,611,1,1,1,3,Lost,Delhi NCR,One-time
CUST00183,2025-12-23,6,115462.87,8,5,2,2,9,New / Promising,Bengaluru,Occasional
CUST00184,2025-12-25,21,355626.21,6,5,5,4,14,Champions,Mumbai,Regular
CUST00185,2025-10-14,9,278239.77,78,3,3,4,10,Loyal Customers,Mumbai,Occasional
CUST00186,2025-09-19,5,24075.57,103,3,2,1,6,Needs Attention,Mumbai,Occasional
CUST00187,2025-09-29,17,232822.54,93,3,4,3,10,Loyal Customers,Hyderabad,Regular
CUST00188,2025-11-13,28,771632.86,48,3,5,5,13,Loyal Customers,Chennai,Loyal
CUST00189,2025-12-20,9,152219.21,11,5,3,3,11,Loyal Customers,Mumbai,Occasional
CUST00190,2025-10-21,5,98216.76000000001,71,3,2,2,7,Needs Attention,Delhi NCR,Regular
CUST00191,2025-02-16,1,25840.93,318,2,1,1,4,Lost,Mumbai,One-time
CUST00192,2025-11-02,14,315686.95,59,3,4,4,11,Loyal Customers,Mumbai,Regular
CUST00193,2025-12-14,24,527278.51,17,4,5,5,14,Champions,Bengaluru,Loyal
CUST00194,2024-08-24,2,5995.719999999999,494,1,1,1,3,Lost,Pune,One-time
CUST00195,2025-11-18,22,453317.8,43,4,5,5,14,Champions,Pune,Regular
CUST00196,2025-03-29,11,286652.51,277,2,3,4,9,At Risk,Delhi NCR,Regular
CUST00197,2025-05-21,8,295449.77,224,2,3,4,9,At Risk,Bengaluru,Occasional
CUST00198,2025-03-03,3,47614.67999999999,303,2,1,1,4,Lost,Mumbai,One-time
CUST00199,2025-07-25,13,265503.33999999997,159,3,4,4,11,Loyal Customers,Mumbai,Regular
CUST00200,2024-11-25,13,178992.88,401,1,4,3,8,At Risk,Kolkata,Regular
CUST00201,2025-12-04,11,262683.37,27,4,3,4,11,Loyal Customers,Hyderabad,Occasional
CUST00202,2025-05-08,2,94177.41,237,2,1,2,5,Lost,Chennai,One-time
CUST00203,2025-12-12,6,55406.93,19,4,2,1,7,New / Promising,Chennai,Occasional
CUST00204,2025-12-27,29,735106.26,4,5,5,5,15,Champions,Pune,Loyal
CUST00205,2025-11-15,27,471950.61,46,3,5,5,13,Loyal Customers,Chennai,Loyal
CUST00206,2025-11-30,10,145505.73,31,4,3,3,10,Loyal Customers,Delhi NCR,Regular
CUST00207,2025-12-27,34,632241.83,4,5,5,5,15,Champions,Mumbai,Loyal
CUST00208,2025-06-23,3,11458.84,191,2,1,1,4,Lost,Mumbai,Occasional
CUST00209,2025-10-14,23,638410.1,78,3,5,5,13,Loyal Customers,Mumbai,Loyal
CUST00210,2025-02-02,7,153496.53,332,1,2,3,6,Needs Attention,Mumbai,Occasional
CUST00211,2025-09-22,4,67444.44,100,3,2,2,7,Needs Attention,Delhi NCR,Occasional
CUST00212,2025-06-01,2,58005.92999999999,213,2,1,2,5,Lost,Pune,Occasional
CUST00213,2025-12-29,16,673580.95,2,5,4,5,14,Champions,Hyderabad,Regular
CUST00214,2025-07-02,3,52963.6,182,2,1,1,4,Lost,Bengaluru,One-time
CUST00215,2024-10-04,15,344362.43,453,1,4,4,9,At Risk,Mumbai,Occasional
CUST00216,2025-11-23,13,287081.08,38,4,4,4,12,Champions,Hyderabad,Occasional
CUST00217,2025-12-08,33,760036.49,23,4,5,5,14,Champions,Delhi NCR,Loyal
CUST00218,2025-12-29,36,797953.6,2,5,5,5,15,Champions,Mumbai,Loyal
CUST00219,2025-04-16,1,23914.11,259,2,1,1,4,Lost,Delhi NCR,One-time
CUST00220,2025-02-06,11,389641.74,328,1,3,4,8,At Risk,Delhi NCR,Regular
CUST00221,2025-12-17,12,239292.24000000002,14,5,4,3,12,Loyal Customers,Delhi NCR,Regular
CUST00222,2025-10-31,20,429881.49,61,3,5,5,13,Loyal Customers,Hyderabad,Regular
CUST00223,2024-10-06,6,93854.32,451,1,2,2,5,Lost,Hyderabad,Occasional
CUST00224,2024-12-31,2,41754.9,365,1,1,1,3,Lost,Pune,One-time
CUST00225,2025-12-30,20,501701.64999999997,1,5,5,5,15,Champions,Mumbai,Regular
CUST00226,2025-02-08,3,70297.47,326,1,1,2,4,Lost,Hyderabad,One-time
CUST00227,2025-10-03,24,559241.22,89,3,5,5,13,Loyal Customers,Pune,Loyal
CUST00228,2025-05-31,9,156862.39,214,2,3,3,8,At Risk,Mumbai,Occasional
CUST00229,2025-02-22,10,134358.91,312,2,3,2,7,At Risk,Pune,Occasional
CUST00230,2025-12-27,23,427634.99,4,5,5,5,15,Champions,Bengaluru,Loyal
CUST00231,2025-12-13,38,821797.64,18,4,5,5,14,Champions,Bengaluru,Loyal
CUST00232,2025-05-26,10,401321.31,219,2,3,4,9,At Risk,Mumbai,Regular
CUST00233,2024-10-18,1,15993.02,439,1,1,1,3,Lost,Bengaluru,One-time
CUST00234,2024-09-24,12,211165.63999999998,463,1,4,3,8,At Risk,Mumbai,Occasional
CUST00235,2024-12-23,5,64413.81,373,1,2,2,5,Lost,Mumbai,One-time
CUST00236,2024-07-17,1,5687.24,532,1,1,1,3,Lost,Mumbai,One-time
CUST00237,2025-11-23,8,181567.56,38,4,3,3,10,Loyal Customers,Kolkata,Regular
CUST00238,2025-03-10,3,53048.53999999999,296,2,1,1,4,Lost,Delhi NCR,Occasional
CUST00239,2025-11-19,23,352793.55000000005,42,4,5,4,13,Champions,Delhi NCR,Loyal
CUST00240,2025-12-28,34,813485.78,3,5,5,5,15,Champions,Delhi NCR,Loyal
CUST00241,2024-11-13,4,48545.2,413,1,2,1,4,Lost,Chennai,One-time
CUST00242,2025-08-03,7,53148.98,150,3,2,1,6,Needs Attention,Bengaluru,Occasional
CUST00243,2025-12-26,13,209956.71,5,5,4,3,12,Loyal Customers,Chennai,Regular
CUST00244,2025-01-29,5,109655.53,336,1,2,2,5,Lost,Delhi NCR,Occasional
CUST00245,2025-10-23,8,212030.75,69,3,3,3,9,Loyal Customers,Mumbai,Occasional
CUST00246,2024-10-29,1,112658.28,428,1,1,2,4,Lost,Bengaluru,One-time
CUST00247,2025-07-21,5,79233.82,163,2,2,2,6,Lost,Delhi NCR,Occasional
CUST00248,2025-12-30,14,314554.8,1,5,4,4,13,Champions,Hyderabad,Regular
CUST00249,2025-12-19,9,189030.4,12,5,3,3,11,Loyal Customers,Chennai,Regular
CUST00250,2025-12-27,24,444844.28,4,5,5,5,15,Champions,Bengaluru,Regular
CUST00251,2024-08-23,5,107304.93,495,1,2,2,5,Lost,Kolkata,Occasional
CUST00252,2024-10-25,3,24175.65,432,1,1,1,3,Lost,Bengaluru,One-time
CUST00253,2024-12-25,25,606672.22,371,1,5,5,11,At Risk,Delhi NCR,Regular
CUST00254,2025-12-29,22,373840.19,2,5,5,4,14,Champions,Bengaluru,Regular
CUST00255,2025-08-13,5,130287.03,140,3,2,2,7,Needs Attention,Mumbai,Regular
CUST00256,2024-09-01,12,260122.96000000002,486,1,4,4,9,At Risk,Hyderabad,Occasional
CUST00257,2025-04-05,1,4514.780000000001,270,2,1,1,4,Lost,Mumbai,One-time
CUST00258,2025-03-26,32,894033.8,280,2,5,5,12,At Risk,Delhi NCR,Loyal
CUST00259,2025-11-07,35,1038569.27,54,3,5,5,13,Loyal Customers,Bengaluru,Loyal
CUST00260,2025-11-12,12,252113.28999999998,49,3,4,4,11,Loyal Customers,Mumbai,Occasional
CUST00261,2025-12-05,28,533364.13,26,4,5,5,14,Champions,Mumbai,Loyal
CUST00262,2024-06-09,1,2039.42,570,1,1,1,3,Lost,Pune,One-time
CUST00263,2025-10-22,11,170406.94,70,3,3,3,9,Loyal Customers,Mumbai,Regular
CUST00264,2025-12-24,26,500251.86,7,5,5,5,15,Champions,Bengaluru,Loyal
CUST00265,2024-08-11,1,51654.9,507,1,1,1,3,Lost,Delhi NCR,One-time
CUST00266,2025-12-26,15,294155.46,5,5,4,4,13,Champions,Delhi NCR,Regular
CUST00267,2025-10-25,15,228978.31,67,3,4,3,10,Loyal Customers,Mumbai,Regular
CUST00268,2025-11-23,23,629394.35,38,4,5,5,14,Champions,Hyderabad,Regular
CUST00269,2025-11-26,34,971584.38,35,4,5,5,14,Champions,Kolkata,Loyal
CUST00270,2025-12-20,32,602905.9,11,5,5,5,15,Champions,Mumbai,Loyal
CUST00271,2025-12-19,21,475665.55,12,5,5,5,15,Champions,Kolkata,Loyal
CUST00272,2025-02-12,12,242596.14,322,2,4,4,10,At Risk,Bengaluru,Regular
CUST00273,2025-12-07,20,410126.62,24,4,5,5,14,Champions,Pune,Loyal
CUST00274,2025-10-29,6,303429.89,63,3,2,4,9,Needs Attention,Pune,Occasional
CUST00275,2025-12-10,13,318688.57,21,4,4,4,12,Champions,Pune,Occasional
CUST00276,2025-12-26,19,220624.36,5,5,5,3,13,Loyal Customers,Hyderabad,Regular
CUST00277,2025-10-30,9,344127.68,62,3,3,4,10,Loyal Customers,Bengaluru,Regular
CUST00278,2025-06-05,9,102733.03,209,2,3,2,7,At Risk,Bengaluru,Occasional
CUST00279,2024-07-27,4,187376.68,522,1,2,3,6,Needs Attention,Delhi NCR,One-time
CUST00280,2025-04-23,1,6314.76,252,2,1,1,4,Lost,Mumbai,One-time
CUST00281,2025-12-29,20,342294.15,2,5,5,4,14,Champions,Pune,Loyal
CUST00282,2025-12-27,10,236572.91999999998,4,5,3,3,11,Loyal Customers,Mumbai,Regular
CUST00283,2025-10-30,13,271867.41000000003,62,3,4,4,11,Loyal Customers,Delhi NCR,Regular
CUST00284,2025-09-19,10,248629.39999999997,103,3,3,4,10,Loyal Customers,Mumbai,Regular
CUST00285,2025-07-02,3,59609.24,182,2,1,2,5,Lost,Mumbai,Occasional
CUST00286,2025-11-14,20,453979.59,47,3,5,5,13,Loyal Customers,Pune,Regular
CUST00287,2025-12-22,31,668800.14,9,5,5,5,15,Champions,Pune,Loyal
CUST00288,2025-12-25,16,260213.71,6,5,4,4,13,Champions,Bengaluru,Regular
CUST00289,2025-11-03,15,426034.8,58,3,4,5,12,Loyal Customers,Mumbai,Occasional
CUST00290,2025-12-28,25,402490.62,3,5,5,5,15,Champions,Bengaluru,Loyal
CUST00291,2024-12-26,1,824.0,370,1,1,1,3,Lost,Delhi NCR,One-time
CUST00292,2025-11-01,20,344587.57,60,3,5,4,12,Loyal Customers,Hyderabad,Loyal
CUST00293,2025-06-15,2,66157.12,199,2,1,2,5,Lost,Bengaluru,One-time
CUST00294,2025-12-27,22,667954.77,4,5,5,5,15,Champions,Bengaluru,Loyal
CUST00295,2025-04-02,2,61190.75,273,2,1,2,5,Lost,Bengaluru,One-time
CUST00296,2025-02-28,5,107925.88,306,2,2,2,6,Lost,Kolkata,One-time
CUST00297,2025-01-11,3,131069.38,354,1,1,2,4,Lost,Hyderabad,One-time
